ShiftsUsed,Fairness,Chromosome,IdleTime
37.7,0.957427107756338,"[75, 83, 68, 83, 77, 73, 79, 66, 80, 75, 67, 66, 77, 82, 66, 69, 79, 75, 78, 78, 71, 72, 74, 83, 79, 70, 82, 69, 83, 82, 73, 77, 80, 72, 85, 67, 73, 66, 83, 73, 69, 78, 68, 68, 68, 81, 71, 80, 82, 67, 70, 66, 79, 67, 71, 67, 83, 79, 71, 69, 73, 67, 77, 78, 75, 71, 74, 82, 85, 68, 69, 73, 82, 85, 85, 80, 81, 73, 69, 81, 74, 70, 74, 81, 69, 75, 81, 70, 77, 74, 82, 68, 80, 72, 75, 75, 85, 83, 80, 66, 83, 75, 77, 74, 81, 78, 72, 72, 72, 71, 78]",197
37.7,0.957427107756338,"[75, 83, 68, 83, 77, 73, 79, 66, 80, 75, 67, 66, 77, 82, 66, 69, 79, 75, 78, 78, 71, 72, 74, 83, 79, 70, 82, 69, 83, 82, 73, 77, 80, 72, 85, 67, 73, 66, 83, 73, 69, 78, 68, 68, 68, 81, 71, 80, 82, 67, 70, 66, 79, 67, 71, 67, 83, 79, 71, 69, 73, 67, 77, 78, 75, 71, 74, 82, 85, 68, 69, 73, 82, 85, 85, 80, 81, 73, 69, 81, 74, 70, 74, 81, 69, 75, 81, 70, 77, 74, 82, 68, 80, 72, 75, 75, 85, 83, 80, 66, 83, 75, 77, 74, 81, 78, 72, 72, 72, 71, 78]",197
18.9,1.1666666666666665,"[80, 83, 68, 83, 77, 73, 79, 66, 80, 69, 67, 66, 77, 82, 66, 69, 79, 75, 78, 78, 71, 72, 74, 83, 79, 70, 74, 69, 80, 82, 73, 77, 80, 72, 80, 67, 79, 66, 83, 73, 83, 78, 68, 71, 68, 81, 70, 71, 82, 67, 70, 66, 79, 73, 71, 78, 83, 75, 68, 69, 81, 67, 77, 78, 75, 71, 74, 72, 85, 68, 69, 73, 82, 85, 85, 80, 81, 73, 70, 81, 75, 71, 74, 81, 69, 75, 81, 70, 77, 75, 82, 68, 80, 73, 75, 72, 85, 77, 80, 66, 83, 75, 77, 74, 81, 78, 72, 72, 71, 82, 78]",9
30.5,1.0671873729054746,"[80, 83, 68, 83, 74, 73, 79, 66, 80, 69, 66, 66, 77, 82, 66, 69, 79, 75, 78, 78, 71, 72, 74, 83, 79, 70, 74, 69, 83, 82, 73, 77, 80, 72, 85, 67, 79, 66, 83, 73, 83, 78, 68, 71, 68, 69, 71, 80, 82, 67, 70, 66, 82, 67, 71, 67, 83, 79, 71, 69, 73, 67, 77, 78, 75, 71, 74, 82, 85, 68, 77, 73, 82, 85, 85, 80, 81, 73, 85, 81, 74, 70, 74, 81, 69, 75, 81, 70, 77, 74, 82, 68, 80, 72, 75, 75, 85, 83, 80, 66, 70, 75, 77, 74, 81, 78, 72, 82, 72, 71, 78]",125
37.7,0.957427107756338,"[75, 83, 68, 83, 77, 73, 79, 66, 80, 75, 67, 66, 77, 82, 66, 69, 79, 75, 78, 78, 71, 72, 74, 83, 79, 70, 82, 69, 83, 82, 73, 77, 80, 72, 85, 67, 73, 66, 83, 73, 69, 78, 68, 68, 68, 81, 71, 80, 82, 67, 70, 66, 79, 67, 71, 67, 83, 79, 71, 69, 73, 67, 77, 78, 75, 71, 74, 82, 85, 68, 69, 73, 82, 85, 85, 80, 81, 73, 69, 81, 74, 70, 74, 81, 69, 75, 81, 70, 77, 74, 82, 68, 80, 72, 75, 75, 85, 83, 80, 66, 83, 75, 77, 74, 81, 78, 72, 72, 72, 71, 78]",197
37.7,0.957427107756338,"[75, 83, 68, 83, 77, 73, 79, 66, 80, 75, 67, 66, 77, 82, 66, 69, 79, 75, 78, 78, 71, 72, 74, 83, 79, 70, 82, 69, 83, 82, 73, 77, 80, 72, 85, 67, 73, 66, 83, 73, 69, 78, 68, 68, 68, 81, 71, 80, 82, 67, 70, 66, 79, 67, 71, 67, 83, 79, 71, 69, 73, 67, 77, 78, 75, 71, 74, 82, 85, 68, 69, 73, 82, 85, 85, 80, 81, 73, 69, 81, 74, 70, 74, 81, 69, 75, 81, 70, 77, 74, 82, 68, 80, 72, 75, 75, 85, 83, 80, 66, 83, 75, 77, 74, 81, 78, 72, 72, 72, 71, 78]",197
37.7,0.957427107756338,"[75, 83, 68, 83, 77, 73, 79, 66, 80, 75, 67, 66, 77, 82, 66, 69, 79, 75, 78, 78, 71, 72, 74, 83, 79, 70, 82, 69, 83, 82, 73, 77, 80, 72, 85, 67, 73, 66, 83, 73, 69, 78, 68, 68, 68, 81, 71, 80, 82, 67, 70, 66, 79, 67, 71, 67, 83, 79, 71, 69, 73, 67, 77, 78, 75, 71, 74, 82, 85, 68, 69, 73, 82, 85, 85, 80, 81, 73, 69, 81, 74, 70, 74, 81, 69, 75, 81, 70, 77, 74, 82, 68, 80, 72, 75, 75, 85, 83, 80, 66, 83, 75, 77, 74, 81, 78, 72, 72, 72, 71, 78]",197
18.9,1.1666666666666665,"[80, 83, 68, 83, 77, 73, 79, 66, 80, 69, 67, 66, 77, 82, 66, 69, 79, 75, 78, 78, 71, 72, 74, 83, 79, 70, 74, 69, 80, 82, 73, 77, 80, 72, 80, 67, 79, 66, 83, 73, 83, 78, 68, 71, 68, 81, 70, 71, 82, 67, 70, 66, 79, 73, 71, 78, 83, 75, 68, 69, 81, 67, 77, 78, 75, 71, 74, 72, 85, 68, 69, 73, 82, 85, 85, 80, 81, 73, 70, 81, 75, 71, 74, 81, 69, 75, 81, 70, 77, 75, 82, 68, 80, 73, 75, 72, 85, 77, 80, 66, 83, 75, 77, 74, 81, 78, 72, 72, 71, 82, 78]",9
122.10000000000001,0.7443229275647869,"[73, 81, 76, 74, 68, 80, 78, 85, 73, 76, 68, 82, 85, 72, 74, 71, 83, 79, 69, 72, 75, 77, 83, 69, 71, 69, 67, 82, 67, 73, 74, 71, 66, 81, 70, 67, 85, 72, 72, 78, 83, 83, 81, 82, 80, 80, 81, 81, 80, 85, 79, 68, 66, 70, 71, 79, 67, 75, 74, 73, 71, 72, 82, 68, 82, 69, 78, 76, 72, 68, 73, 79, 66, 77, 69, 76, 80, 78, 70, 74, 75, 77, 66, 72, 76, 80, 85, 79, 78, 75, 69, 70, 79, 70, 71, 66, 66, 83, 80, 81, 77, 67, 70, 77, 73, 78, 71, 82, 85, 67, 74]",1031
37.7,0.957427107756338,"[75, 83, 68, 83, 77, 73, 79, 66, 80, 75, 67, 66, 77, 82, 66, 69, 79, 75, 78, 78, 71, 72, 74, 83, 79, 70, 82, 69, 83, 82, 73, 77, 80, 72, 85, 67, 73, 66, 83, 73, 69, 78, 68, 68, 68, 81, 71, 80, 82, 67, 70, 66, 79, 67, 71, 67, 83, 79, 71, 69, 73, 67, 77, 78, 75, 71, 74, 82, 85, 68, 69, 73, 82, 85, 85, 80, 81, 73, 69, 81, 74, 70, 74, 81, 69, 75, 81, 70, 77, 74, 82, 68, 80, 72, 75, 75, 85, 83, 80, 66, 83, 75, 77, 74, 81, 78, 72, 72, 72, 71, 78]",197
122.10000000000001,0.7443229275647869,"[73, 81, 76, 74, 68, 80, 78, 85, 73, 76, 68, 82, 85, 72, 74, 71, 83, 79, 69, 72, 75, 77, 83, 69, 71, 69, 67, 82, 67, 73, 74, 71, 66, 81, 70, 67, 85, 72, 72, 78, 83, 83, 81, 82, 80, 80, 81, 81, 80, 85, 79, 68, 66, 70, 71, 79, 67, 75, 74, 73, 71, 72, 82, 68, 82, 69, 78, 76, 72, 68, 73, 79, 66, 77, 69, 76, 80, 78, 70, 74, 75, 77, 66, 72, 76, 80, 85, 79, 78, 75, 69, 70, 79, 70, 71, 66, 66, 83, 80, 81, 77, 67, 70, 77, 73, 78, 71, 82, 85, 67, 74]",1031
37.7,0.957427107756338,"[75, 83, 68, 83, 77, 73, 79, 66, 80, 75, 67, 66, 77, 82, 66, 69, 79, 75, 78, 78, 71, 72, 74, 83, 79, 70, 82, 69, 83, 82, 73, 77, 80, 72, 85, 67, 73, 66, 83, 73, 69, 78, 68, 68, 68, 81, 71, 80, 82, 67, 70, 66, 79, 67, 71, 67, 83, 79, 71, 69, 73, 67, 77, 78, 75, 71, 74, 82, 85, 68, 69, 73, 82, 85, 85, 80, 81, 73, 69, 81, 74, 70, 74, 81, 69, 75, 81, 70, 77, 74, 82, 68, 80, 72, 75, 75, 85, 83, 80, 66, 83, 75, 77, 74, 81, 78, 72, 72, 72, 71, 78]",197
37.7,0.957427107756338,"[75, 83, 68, 83, 77, 73, 79, 66, 80, 75, 67, 66, 77, 82, 66, 69, 79, 75, 78, 78, 71, 72, 74, 83, 79, 70, 82, 69, 83, 82, 73, 77, 80, 72, 85, 67, 73, 66, 83, 73, 69, 78, 68, 68, 68, 81, 71, 80, 82, 67, 70, 66, 79, 67, 71, 67, 83, 79, 71, 69, 73, 67, 77, 78, 75, 71, 74, 82, 85, 68, 69, 73, 82, 85, 85, 80, 81, 73, 69, 81, 74, 70, 74, 81, 69, 75, 81, 70, 77, 74, 82, 68, 80, 72, 75, 75, 85, 83, 80, 66, 83, 75, 77, 74, 81, 78, 72, 72, 72, 71, 78]",197
37.7,0.957427107756338,"[75, 83, 68, 83, 77, 73, 79, 66, 80, 75, 67, 66, 77, 82, 66, 69, 79, 75, 78, 78, 71, 72, 74, 83, 79, 70, 82, 69, 83, 82, 73, 77, 80, 72, 85, 67, 73, 66, 83, 73, 69, 78, 68, 68, 68, 81, 71, 80, 82, 67, 70, 66, 79, 67, 71, 67, 83, 79, 71, 69, 73, 67, 77, 78, 75, 71, 74, 82, 85, 68, 69, 73, 82, 85, 85, 80, 81, 73, 69, 81, 74, 70, 74, 81, 69, 75, 81, 70, 77, 74, 82, 68, 80, 72, 75, 75, 85, 83, 80, 66, 83, 75, 77, 74, 81, 78, 72, 72, 72, 71, 78]",197
30.5,1.0671873729054746,"[80, 83, 68, 83, 74, 73, 79, 66, 80, 69, 66, 66, 77, 82, 66, 69, 79, 75, 78, 78, 71, 72, 74, 83, 79, 70, 74, 69, 83, 82, 73, 77, 80, 72, 85, 67, 79, 66, 83, 73, 83, 78, 68, 71, 68, 69, 71, 80, 82, 67, 70, 66, 82, 67, 71, 67, 83, 79, 71, 69, 73, 67, 77, 78, 75, 71, 74, 82, 85, 68, 77, 73, 82, 85, 85, 80, 81, 73, 85, 81, 74, 70, 74, 81, 69, 75, 81, 70, 77, 74, 82, 68, 80, 72, 75, 75, 85, 83, 80, 66, 70, 75, 77, 74, 81, 78, 72, 82, 72, 71, 78]",125
37.7,0.957427107756338,"[75, 83, 68, 83, 77, 73, 79, 66, 80, 75, 67, 66, 77, 82, 66, 69, 79, 75, 78, 78, 71, 72, 74, 83, 79, 70, 82, 69, 83, 82, 73, 77, 80, 72, 85, 67, 73, 66, 83, 73, 69, 78, 68, 68, 68, 81, 71, 80, 82, 67, 70, 66, 79, 67, 71, 67, 83, 79, 71, 69, 73, 67, 77, 78, 75, 71, 74, 82, 85, 68, 69, 73, 82, 85, 85, 80, 81, 73, 69, 81, 74, 70, 74, 81, 69, 75, 81, 70, 77, 74, 82, 68, 80, 72, 75, 75, 85, 83, 80, 66, 83, 75, 77, 74, 81, 78, 72, 72, 72, 71, 78]",197
122.10000000000001,0.7443229275647869,"[73, 81, 76, 74, 68, 80, 78, 85, 73, 76, 68, 82, 85, 72, 74, 71, 83, 79, 69, 72, 75, 77, 83, 69, 71, 69, 67, 82, 67, 73, 74, 71, 66, 81, 70, 67, 85, 72, 72, 78, 83, 83, 81, 82, 80, 80, 81, 81, 80, 85, 79, 68, 66, 70, 71, 79, 67, 75, 74, 73, 71, 72, 82, 68, 82, 69, 78, 76, 72, 68, 73, 79, 66, 77, 69, 76, 80, 78, 70, 74, 75, 77, 66, 72, 76, 80, 85, 79, 78, 75, 69, 70, 79, 70, 71, 66, 66, 83, 80, 81, 77, 67, 70, 77, 73, 78, 71, 82, 85, 67, 74]",1031
122.10000000000001,0.7443229275647869,"[73, 81, 76, 74, 68, 80, 78, 85, 73, 76, 68, 82, 85, 72, 74, 71, 83, 79, 69, 72, 75, 77, 83, 69, 71, 69, 67, 82, 67, 73, 74, 71, 66, 81, 70, 67, 85, 72, 72, 78, 83, 83, 81, 82, 80, 80, 81, 81, 80, 85, 79, 68, 66, 70, 71, 79, 67, 75, 74, 73, 71, 72, 82, 68, 82, 69, 78, 76, 72, 68, 73, 79, 66, 77, 69, 76, 80, 78, 70, 74, 75, 77, 66, 72, 76, 80, 85, 79, 78, 75, 69, 70, 79, 70, 71, 66, 66, 83, 80, 81, 77, 67, 70, 77, 73, 78, 71, 82, 85, 67, 74]",1031
37.7,0.957427107756338,"[75, 83, 68, 83, 77, 73, 79, 66, 80, 75, 67, 66, 77, 82, 66, 69, 79, 75, 78, 78, 71, 72, 74, 83, 79, 70, 82, 69, 83, 82, 73, 77, 80, 72, 85, 67, 73, 66, 83, 73, 69, 78, 68, 68, 68, 81, 71, 80, 82, 67, 70, 66, 79, 67, 71, 67, 83, 79, 71, 69, 73, 67, 77, 78, 75, 71, 74, 82, 85, 68, 69, 73, 82, 85, 85, 80, 81, 73, 69, 81, 74, 70, 74, 81, 69, 75, 81, 70, 77, 74, 82, 68, 80, 72, 75, 75, 85, 83, 80, 66, 83, 75, 77, 74, 81, 78, 72, 72, 72, 71, 78]",197
18.9,1.1666666666666665,"[80, 83, 68, 83, 77, 73, 79, 66, 80, 69, 67, 66, 77, 82, 66, 69, 79, 75, 78, 78, 71, 72, 74, 83, 79, 70, 74, 69, 80, 82, 73, 77, 80, 72, 80, 67, 79, 66, 83, 73, 83, 78, 68, 71, 68, 81, 70, 71, 82, 67, 70, 66, 79, 73, 71, 78, 83, 75, 68, 69, 81, 67, 77, 78, 75, 71, 74, 72, 85, 68, 69, 73, 82, 85, 85, 80, 81, 73, 70, 81, 75, 71, 74, 81, 69, 75, 81, 70, 77, 75, 82, 68, 80, 73, 75, 72, 85, 77, 80, 66, 83, 75, 77, 74, 81, 78, 72, 72, 71, 82, 78]",9
122.10000000000001,0.7443229275647869,"[73, 81, 76, 74, 68, 80, 78, 85, 73, 76, 68, 82, 85, 72, 74, 71, 83, 79, 69, 72, 75, 77, 83, 69, 71, 69, 67, 82, 67, 73, 74, 71, 66, 81, 70, 67, 85, 72, 72, 78, 83, 83, 81, 82, 80, 80, 81, 81, 80, 85, 79, 68, 66, 70, 71, 79, 67, 75, 74, 73, 71, 72, 82, 68, 82, 69, 78, 76, 72, 68, 73, 79, 66, 77, 69, 76, 80, 78, 70, 74, 75, 77, 66, 72, 76, 80, 85, 79, 78, 75, 69, 70, 79, 70, 71, 66, 66, 83, 80, 81, 77, 67, 70, 77, 73, 78, 71, 82, 85, 67, 74]",1031
37.7,0.957427107756338,"[75, 83, 68, 83, 77, 73, 79, 66, 80, 75, 67, 66, 77, 82, 66, 69, 79, 75, 78, 78, 71, 72, 74, 83, 79, 70, 82, 69, 83, 82, 73, 77, 80, 72, 85, 67, 73, 66, 83, 73, 69, 78, 68, 68, 68, 81, 71, 80, 82, 67, 70, 66, 79, 67, 71, 67, 83, 79, 71, 69, 73, 67, 77, 78, 75, 71, 74, 82, 85, 68, 69, 73, 82, 85, 85, 80, 81, 73, 69, 81, 74, 70, 74, 81, 69, 75, 81, 70, 77, 74, 82, 68, 80, 72, 75, 75, 85, 83, 80, 66, 83, 75, 77, 74, 81, 78, 72, 72, 72, 71, 78]",197
37.7,0.957427107756338,"[75, 83, 68, 83, 77, 73, 79, 66, 80, 75, 67, 66, 77, 82, 66, 69, 79, 75, 78, 78, 71, 72, 74, 83, 79, 70, 82, 69, 83, 82, 73, 77, 80, 72, 85, 67, 73, 66, 83, 73, 69, 78, 68, 68, 68, 81, 71, 80, 82, 67, 70, 66, 79, 67, 71, 67, 83, 79, 71, 69, 73, 67, 77, 78, 75, 71, 74, 82, 85, 68, 69, 73, 82, 85, 85, 80, 81, 73, 69, 81, 74, 70, 74, 81, 69, 75, 81, 70, 77, 74, 82, 68, 80, 72, 75, 75, 85, 83, 80, 66, 83, 75, 77, 74, 81, 78, 72, 72, 72, 71, 78]",197
37.7,0.957427107756338,"[75, 83, 68, 83, 77, 73, 79, 66, 80, 75, 67, 66, 77, 82, 66, 69, 79, 75, 78, 78, 71, 72, 74, 83, 79, 70, 82, 69, 83, 82, 73, 77, 80, 72, 85, 67, 73, 66, 83, 73, 69, 78, 68, 68, 68, 81, 71, 80, 82, 67, 70, 66, 79, 67, 71, 67, 83, 79, 71, 69, 73, 67, 77, 78, 75, 71, 74, 82, 85, 68, 69, 73, 82, 85, 85, 80, 81, 73, 69, 81, 74, 70, 74, 81, 69, 75, 81, 70, 77, 74, 82, 68, 80, 72, 75, 75, 85, 83, 80, 66, 83, 75, 77, 74, 81, 78, 72, 72, 72, 71, 78]",197
37.7,0.957427107756338,"[75, 83, 68, 83, 77, 73, 79, 66, 80, 75, 67, 66, 77, 82, 66, 69, 79, 75, 78, 78, 71, 72, 74, 83, 79, 70, 82, 69, 83, 82, 73, 77, 80, 72, 85, 67, 73, 66, 83, 73, 69, 78, 68, 68, 68, 81, 71, 80, 82, 67, 70, 66, 79, 67, 71, 67, 83, 79, 71, 69, 73, 67, 77, 78, 75, 71, 74, 82, 85, 68, 69, 73, 82, 85, 85, 80, 81, 73, 69, 81, 74, 70, 74, 81, 69, 75, 81, 70, 77, 74, 82, 68, 80, 72, 75, 75, 85, 83, 80, 66, 83, 75, 77, 74, 81, 78, 72, 72, 72, 71, 78]",197
37.7,0.957427107756338,"[75, 83, 68, 83, 77, 73, 79, 66, 80, 75, 67, 66, 77, 82, 66, 69, 79, 75, 78, 78, 71, 72, 74, 83, 79, 70, 82, 69, 83, 82, 73, 77, 80, 72, 85, 67, 73, 66, 83, 73, 69, 78, 68, 68, 68, 81, 71, 80, 82, 67, 70, 66, 79, 67, 71, 67, 83, 79, 71, 69, 73, 67, 77, 78, 75, 71, 74, 82, 85, 68, 69, 73, 82, 85, 85, 80, 81, 73, 69, 81, 74, 70, 74, 81, 69, 75, 81, 70, 77, 74, 82, 68, 80, 72, 75, 75, 85, 83, 80, 66, 83, 75, 77, 74, 81, 78, 72, 72, 72, 71, 78]",197
37.7,0.957427107756338,"[75, 83, 68, 83, 77, 73, 79, 66, 80, 75, 67, 66, 77, 82, 66, 69, 79, 75, 78, 78, 71, 72, 74, 83, 79, 70, 82, 69, 83, 82, 73, 77, 80, 72, 85, 67, 73, 66, 83, 73, 69, 78, 68, 68, 68, 81, 71, 80, 82, 67, 70, 66, 79, 67, 71, 67, 83, 79, 71, 69, 73, 67, 77, 78, 75, 71, 74, 82, 85, 68, 69, 73, 82, 85, 85, 80, 81, 73, 69, 81, 74, 70, 74, 81, 69, 75, 81, 70, 77, 74, 82, 68, 80, 72, 75, 75, 85, 83, 80, 66, 83, 75, 77, 74, 81, 78, 72, 72, 72, 71, 78]",197
122.10000000000001,0.7443229275647869,"[73, 81, 76, 74, 68, 80, 78, 85, 73, 76, 68, 82, 85, 72, 74, 71, 83, 79, 69, 72, 75, 77, 83, 69, 71, 69, 67, 82, 67, 73, 74, 71, 66, 81, 70, 67, 85, 72, 72, 78, 83, 83, 81, 82, 80, 80, 81, 81, 80, 85, 79, 68, 66, 70, 71, 79, 67, 75, 74, 73, 71, 72, 82, 68, 82, 69, 78, 76, 72, 68, 73, 79, 66, 77, 69, 76, 80, 78, 70, 74, 75, 77, 66, 72, 76, 80, 85, 79, 78, 75, 69, 70, 79, 70, 71, 66, 66, 83, 80, 81, 77, 67, 70, 77, 73, 78, 71, 82, 85, 67, 74]",1031
37.7,0.957427107756338,"[75, 83, 68, 83, 77, 73, 79, 66, 80, 75, 67, 66, 77, 82, 66, 69, 79, 75, 78, 78, 71, 72, 74, 83, 79, 70, 82, 69, 83, 82, 73, 77, 80, 72, 85, 67, 73, 66, 83, 73, 69, 78, 68, 68, 68, 81, 71, 80, 82, 67, 70, 66, 79, 67, 71, 67, 83, 79, 71, 69, 73, 67, 77, 78, 75, 71, 74, 82, 85, 68, 69, 73, 82, 85, 85, 80, 81, 73, 69, 81, 74, 70, 74, 81, 69, 75, 81, 70, 77, 74, 82, 68, 80, 72, 75, 75, 85, 83, 80, 66, 83, 75, 77, 74, 81, 78, 72, 72, 72, 71, 78]",197
122.10000000000001,0.7443229275647869,"[73, 81, 76, 74, 68, 80, 78, 85, 73, 76, 68, 82, 85, 72, 74, 71, 83, 79, 69, 72, 75, 77, 83, 69, 71, 69, 67, 82, 67, 73, 74, 71, 66, 81, 70, 67, 85, 72, 72, 78, 83, 83, 81, 82, 80, 80, 81, 81, 80, 85, 79, 68, 66, 70, 71, 79, 67, 75, 74, 73, 71, 72, 82, 68, 82, 69, 78, 76, 72, 68, 73, 79, 66, 77, 69, 76, 80, 78, 70, 74, 75, 77, 66, 72, 76, 80, 85, 79, 78, 75, 69, 70, 79, 70, 71, 66, 66, 83, 80, 81, 77, 67, 70, 77, 73, 78, 71, 82, 85, 67, 74]",1031
37.7,0.957427107756338,"[75, 83, 68, 83, 77, 73, 79, 66, 80, 75, 67, 66, 77, 82, 66, 69, 79, 75, 78, 78, 71, 72, 74, 83, 79, 70, 82, 69, 83, 82, 73, 77, 80, 72, 85, 67, 73, 66, 83, 73, 69, 78, 68, 68, 68, 81, 71, 80, 82, 67, 70, 66, 79, 67, 71, 67, 83, 79, 71, 69, 73, 67, 77, 78, 75, 71, 74, 82, 85, 68, 69, 73, 82, 85, 85, 80, 81, 73, 69, 81, 74, 70, 74, 81, 69, 75, 81, 70, 77, 74, 82, 68, 80, 72, 75, 75, 85, 83, 80, 66, 83, 75, 77, 74, 81, 78, 72, 72, 72, 71, 78]",197
37.7,0.957427107756338,"[75, 83, 68, 83, 77, 73, 79, 66, 80, 75, 67, 66, 77, 82, 66, 69, 79, 75, 78, 78, 71, 72, 74, 83, 79, 70, 82, 69, 83, 82, 73, 77, 80, 72, 85, 67, 73, 66, 83, 73, 69, 78, 68, 68, 68, 81, 71, 80, 82, 67, 70, 66, 79, 67, 71, 67, 83, 79, 71, 69, 73, 67, 77, 78, 75, 71, 74, 82, 85, 68, 69, 73, 82, 85, 85, 80, 81, 73, 69, 81, 74, 70, 74, 81, 69, 75, 81, 70, 77, 74, 82, 68, 80, 72, 75, 75, 85, 83, 80, 66, 83, 75, 77, 74, 81, 78, 72, 72, 72, 71, 78]",197
37.7,0.957427107756338,"[75, 83, 68, 83, 77, 73, 79, 66, 80, 75, 67, 66, 77, 82, 66, 69, 79, 75, 78, 78, 71, 72, 74, 83, 79, 70, 82, 69, 83, 82, 73, 77, 80, 72, 85, 67, 73, 66, 83, 73, 69, 78, 68, 68, 68, 81, 71, 80, 82, 67, 70, 66, 79, 67, 71, 67, 83, 79, 71, 69, 73, 67, 77, 78, 75, 71, 74, 82, 85, 68, 69, 73, 82, 85, 85, 80, 81, 73, 69, 81, 74, 70, 74, 81, 69, 75, 81, 70, 77, 74, 82, 68, 80, 72, 75, 75, 85, 83, 80, 66, 83, 75, 77, 74, 81, 78, 72, 72, 72, 71, 78]",197
